KU-Z3-001_112bpm	jazz funk lofi, neo soul lofi, instrumental, no vocals, 112bpm, background work music, syncopated jazz groove, gentle vinyl noise, vibraphone, introspective mood, soulful jazz samples
KU-Z3-002_112bpm	latin lofi, lofi hip hop, instrumental, no vocals, 112bpm, background work music, half-time feel, soft room ambience, muted trumpet, jazz chord extensions, laid-back timing, soul jazz warmth
KU-Z3-003_113bpm	lofi electronic fusion, lofi hip hop, instrumental, no vocals, 113bpm, background work music, boom bap drums, mellow background haze, rhodes piano, nostalgic late-night calm, soul sample texture
KU-Z3-004_113bpm	broken beat soul, lofi hip hop, instrumental, no vocals, 113bpm, background work music, jazz brush snare, lo-fi cassette warmth, mellow flute, dusty jazz sensibility, raw soulful warmth
KU-Z3-005_113bpm	jazz funk lofi, latin lofi, instrumental, no vocals, 113bpm, background work music, jazzy rim shot pattern, subtle field recording texture, jazzy electric guitar, warm jazzy atmosphere, loose swing feel
KU-Z3-006_113bpm	broken beat soul, chill hop, instrumental, no vocals, 113bpm, background work music, hand percussion only, analog tape hiss, electric piano, sus2 chord voicing, melancholic chord progressions, off-grid rhythm feel
KU-Z3-007_114bpm	latin lofi, lofi hip hop, instrumental, no vocals, 114bpm, background work music, raw boom bap feel, warm tape saturation, warm saxophone, nostalgic late-night calm, soul jazz warmth
KU-Z3-008_114bpm	lofi hip hop, neo soul lofi, instrumental, no vocals, 114bpm, background work music, drunk drum feel, dusty sample texture, nylon string guitar, modal chord progression, dusty jazz sensibility, raw soulful warmth
KU-Z3-009_114bpm	afro lofi, latin lofi, instrumental, no vocals, 114bpm, background work music, shuffled hi-hats, vinyl crackle, upright bass lead, tritone substitution feel, introspective mood, loose swing feel
KU-Z3-010_114bpm	lofi hip hop, soul groove instrumental, instrumental, no vocals, 114bpm, background work music, lazy hip hop drums, vinyl crackle, soft synth pad, pentatonic melody over jazz chords, laid-back timing, off-grid rhythm feel
KU-Z3-011_115bpm	broken beat soul, lofi electronic fusion, instrumental, no vocals, 115bpm, background work music, loose swing drums, soft room ambience, electric piano, lydian chord color, warm jazzy atmosphere, soul sample texture
KU-Z3-012_115bpm	lofi hip hop, neo soul lofi, instrumental, no vocals, 115bpm, background work music, off-beat pocket groove, mellow background haze, nylon string guitar, diminished passing chords, melancholic chord progressions, soulful jazz samples
KU-Z3-013_115bpm	neo soul lofi, chill hop, instrumental, no vocals, 115bpm, background work music, wire brushes on snare, gentle vinyl noise, mellow flute, minor 7th chords, dusty jazz sensibility, loose swing feel
KU-Z3-014_115bpm	neo soul lofi, chill hop, instrumental, no vocals, 115bpm, background work music, broken beat, warm tape saturation, muted trumpet, minor 7th chords, introspective mood, soulful jazz samples
KU-Z3-015_116bpm	lofi electronic fusion, lofi hip hop, instrumental, no vocals, 116bpm, background work music, bossa nova rhythm, lo-fi cassette warmth, soft synth pad, melancholic chord progressions, soul sample texture
KU-Z3-016_116bpm	soul groove instrumental, chill hop, instrumental, no vocals, 116bpm, background work music, neo soul groove, analog tape hiss, warm saxophone, nostalgic late-night calm, raw soulful warmth
KU-Z3-017_116bpm	latin lofi, broken beat soul, instrumental, no vocals, 116bpm, background work music, one drop rhythm, dusty sample texture, upright bass lead, laid-back timing, soul jazz warmth
KU-Z3-018_116bpm	broken beat soul, lofi electronic fusion, instrumental, no vocals, 116bpm, background work music, soul shuffle beat, subtle field recording texture, jazzy electric guitar, modal chord progression, warm jazzy atmosphere, off-grid rhythm feel
KU-Z3-019_117bpm	soul groove instrumental, jazz funk lofi, instrumental, no vocals, 117bpm, background work music, shuffled hi-hats, gentle vinyl noise, vibraphone, laid-back timing, soul sample texture
KU-Z3-020_117bpm	chill hop, broken beat soul, instrumental, no vocals, 117bpm, background work music, wire brushes on snare, dusty sample texture, rhodes piano, nostalgic late-night calm, soulful jazz samples
KU-Z3-021_117bpm	afro lofi, jazz funk lofi, instrumental, no vocals, 117bpm, background work music, hand percussion only, vinyl crackle, nylon string guitar, warm jazzy atmosphere, loose swing feel
KU-Z3-022_117bpm	broken beat soul, soul groove instrumental, instrumental, no vocals, 117bpm, background work music, lazy hip hop drums, soft room ambience, mellow flute, diminished passing chords, introspective mood, soul jazz warmth
KU-Z3-023_118bpm	afro lofi, lofi hip hop, instrumental, no vocals, 118bpm, background work music, raw boom bap feel, mellow background haze, rhodes piano, dusty jazz sensibility, off-grid rhythm feel
KU-Z3-024_118bpm	neo soul lofi, chill hop, instrumental, no vocals, 118bpm, background work music, jazzy rim shot pattern, analog tape hiss, upright bass lead, lydian chord color, melancholic chord progressions, raw soulful warmth
KU-Z3-025_118bpm	soul groove instrumental, latin lofi, instrumental, no vocals, 118bpm, background work music, bossa nova rhythm, subtle field recording texture, vibraphone, laid-back timing, soul jazz warmth
